goal_id,track_id,goal_no,goal_name,goal_desc,color,icon,order
G13,plan,13,기후변화와 대응,기후변화와 그 영향에 맞서기 위한 긴급한 대응을 시행한다,#E8590C,🌡️,1
G14,plan,14,해양생태계 보전,지속가능발전을 위하여 대양·바다·해양자원을 보전하고 지속가능하게 이용한다,#0B7285,🌊,2
G15,plan,15,육상생태계 보전,육상생태계를 보호·복원하고 지속가능하게 이용하며 생물다양성 손실을 중단한다,#2F9E44,🌳,3
S1,state,1,대기환경,미세먼지·오존 등 대기질의 실제 관측 수준을 추적한다,#4C6EF5,🌫️,1
S2,state,2,물환경,하천·호소의 수질과 물 인프라 보급 수준을 추적한다,#0CA678,💧,2
S3,state,3,생활·자연환경,소음·녹지·자연생태 등 일상 공간의 환경 여건을 추적한다,#F76707,🌿,3
P1,perception,1,환경 만족도,거주지역 환경과 대기질에 대한 시민 만족 수준을 조사한다,#7048E8,😊,1
P2,perception,2,환경 불편 경험,악취·소음 등 생활 속 환경 불편을 겪은 정도를 조사한다,#E64980,😷,2
P3,perception,3,환경 인식과 참여,기후위기 인식·정책 신뢰·환경실천 참여 수준을 조사한다,#12B886,🤝,3
